              t                       Ixx                      Iyy                      Izz           
    0.000000000000000e+00     7.267275383921111e+44     7.267273784696646e+44     7.254136635325002e+44
    9.998782118200636e-03     7.257774523082236e+44     7.257774706582141e+44     7.244402886041041e+44
    1.994087979362386e-02     7.257438435185547e+44     7.257438619389546e+44     7.243812268414765e+44
    2.997526267942815e-02     7.257743530328967e+44     7.257743716321823e+44     7.243691599736298e+44
    3.991695231018962e-02     7.258652827623635e+44     7.258653013555881e+44     7.244045612767197e+44
    4.995060288103594e-02     7.260177024414832e+44     7.260177210883831e+44     7.244882757024496e+44
    5.998459568584772e-02     7.262305518802980e+44     7.262305705911246e+44     7.246201589500767e+44
    6.992656653422683e-02     7.265005143035009e+44     7.265005330416831e+44     7.247981720721740e+44
    7.996026051653672e-02     7.268319471580190e+44     7.268319659165156e+44     7.250253876188901e+44
    8.999349449957378e-02     7.272218655136532e+44     7.272218842912929e+44     7.253000724854147e+44
    9.993427397587162e-02     7.276650321724282e+44     7.276650509358102e+44     7.256186813277806e+44
    1.099667404592241e-01     7.281687768104093e+44     7.281687956328357e+44     7.259867336753038e+44
    1.199989096960757e-01     7.287283516918535e+44     7.287283706185917e+44     7.264011067127647e+44
    1.299388188585431e-01     7.293369165214989e+44     7.293369354389911e+44     7.268569553048304e+44
    1.399705967049036e-01     7.300047525843030e+44     7.300047713588297e+44     7.273622800720221e+44
    1.499102239012920e-01     7.307185861226922e+44     7.307186050210148e+44     7.279073415474996e+44
    1.599417991798125e-01     7.314905691064391e+44     7.314905880345952e+44     7.285017216394443e+44
    1.699732758173186e-01     7.323132084095537e+44     7.323132271437372e+44     7.291400196235744e+44
    1.799125681841783e-01     7.331771144067939e+44     7.331771332509732e+44     7.298151781867899e+44
    1.899436953842065e-01     7.340970859071309e+44     7.340971048348848e+44     7.305390458659889e+44
    1.999746463681428e-01     7.350640882391578e+44     7.350641071040197e+44     7.313048439983922e+44
    2.099134428328576e-01     7.360673253233299e+44     7.360673441290427e+44     7.321041976619363e+44
    2.199441473638485e-01     7.371240223179588e+44     7.371240412143075e+44     7.329510424436766e+44
    2.299747456121890e-01     7.382236787671021e+44     7.382236975893497e+44     7.338372009656296e+44
    2.399132564073071e-01     7.393541543494479e+44     7.393541731904435e+44     7.347529585444340e+44
    2.499437694292689e-01     7.405348227565699e+44     7.405348415662403e+44     7.357140891486123e+44
    2.599742748029846e-01     7.417537243012850e+44     7.417537431514400e+44     7.367109429266661e+44
    2.699127285039410e-01     7.429974277285993e+44     7.429974465316949e+44     7.377324285267672e+44
    2.799431466936226e-01     7.442871135746400e+44     7.442871323136886e+44     7.387958150960723e+44
    2.899734883614619e-01     7.456094438833380e+44     7.456094626059874e+44     7.398899402479238e+44
    2.999117342411518e-01     7.469497338279502e+44     7.469497525574007e+44     7.410022776668995e+44
    3.099419381232996e-01     7.483305129759192e+44     7.483305316476925e+44     7.421510719638063e+44
    3.199720869663072e-01     7.497369885924882e+44     7.497370072256227e+44     7.433234366715820e+44
    3.299101740869060e-01     7.511531650556980e+44     7.511531836216950e+44     7.445052166695250e+44
    3.399402234939535e-01     7.526021895869019e+44     7.526022080904458e+44     7.457146793939055e+44
    3.499701661057136e-01     7.540675184737634e+44     7.540675369023650e+44     7.469366631805834e+44
    3.599999665035988e-01     7.555451459717323e+44     7.555451642918378e+44     7.481660724929861e+44
    3.699376118824578e-01     7.570168067577721e+44     7.570168249037183e+44     7.493855323358366e+44
    3.799671460713999e-01     7.585043871180574e+44     7.585044051202805e+44     7.506103012253043e+44
    3.899965421351178e-01     7.599878856910035e+44     7.599879035377138e+44     7.518200822521421e+44
    3.999337865243401e-01     7.614462638541802e+44     7.614462815413915e+44     7.529931844098092e+44
    4.099629446361256e-01     7.628975168246484e+44     7.628975343201185e+44     7.541380606498692e+44
    4.199921022318078e-01     7.643173112383559e+44     7.643173284394428e+44     7.552276012224735e+44
    4.299896317002349e-01     7.656882741182365e+44     7.656882910106397e+44     7.562389392412179e+44
